,lat,lon,ad
201,32.847538,-117.207792,6100 SYRACUSE
202,32.8401623,-117.2740777,2400 LA JOLLA
203,32.77890072445964,-117.13103056423964,10000 RIO SAN DIEGO
204,32.935262,-117.075785,11900 MIL PITRERO
205,0.0,0.0,1400 01ST
206,32.830395,-117.200479,4300 SUSQUEHANNA
207,32.977895,-117.091074,14400 PENASQUITOS
208,32.952012,-117.130377,13000 BLACK MTN
209,32.954754,-117.13007,13100 BLACK MTN
210,32.75295,-117.184151,2000 HICKORY
211,32.693822,-117.102462,1200 43RD
212,32.9434337,-117.2139794,3100 CARMEL VALLEY
213,32.659311,-117.08756,1100 30TH
214,32.865363,-117.208427,4600 NOBEL
215,32.751553,-117.099895,4100 44TH
216,32.745334,-117.210508,3100 ROSECRANS
217,32.693326,-117.078397,5400 CERVANTES
218,32.4672227,-117.0552687,900 F
219,32.76923,-117.187718,5900 MILDRED
220,32.825319,-117.224495,4400 ATWELL
221,33.136142,-117.04675,2100 GRAND
222,32.5520013,-117.0430813,500 SAN YSIDRO
223,33.04257439700528,-117.07675244677576,18300 WEST BERNARDO
224,32.816246,-117.105104,4200 SANTO
225,32.915602,-117.1439226,8700 MIRA MESA
226,32.749644,-117.094817,4600 UNIVERSITY
227,32.748538,-117.136103,2600 UNIVERSITY
228,33.0261429,-117.074847,12200 RANCHO BERNARDO
229,32.7829,-117.236697,3500 INGRAHAM
230,33.0917085,-116.9539177,20300 SAN PASQUAL
231,32.8116862,-117.2010787,0 BALBOA
232,32.793015,-117.253386,800 REED
233,32.569053,-117.099657,1500 COCHABAMBA
234,32.877598000000006,-117.23009312015077,1200 UNIVERSITY
235,0.0,0.0,3000 ST CHARLES
236,32.711601,-117.155419,1000 MARKET
237,32.6886565,-116.3348171,0 MISSION
238,32.808837,-117.118948,9700 AERO
239,32.792137,-117.024506,6200 LAKE BADIN
240,32.920796,-117.230851,3800 CARMEL MTN
241,32.4672227,-117.0552687,1600 F
242,32.8315018,-117.1324786,6500 CLAIREMONT MESA
243,32.761024,-117.2297158,900 WEST MISSION BAY
244,0.0,0.0,700 CAM DEL RIO NORTH
245,0.0,0.0,0 I-5 SB
246,32.747352,-117.251167,5000 NEWPORT
247,32.874116,-117.207283,4600 LA JOLLA VILLAGE
248,32.97928652139658,-117.08076713245728,11700 CARMEL MTN
249,32.722068,-117.168384,1600 INDIA
250,32.57453306099153,-117.092854,1200 SATURN
251,32.91559376015365,-117.12061328626217,10700 WESTVIEW
252,32.8289243,-117.142415,9300 KEARNY MESA
253,0.0,0.0,1000 CAM DE LA REINA
254,0.0,0.0,0 CAM DEL RIO SOUTH
255,33.008252,-117.088748,16100 BERNARDO CENTER
256,32.721541,-117.085015,1600 EUCLID
257,32.752308,-117.138909,4100 TEXAS
258,32.7305,-117.2532,4800 SUNSET CLIFFS
259,32.955824,-117.206826,5400 CARMEL KNOLLS
260,32.751078,-117.244941,4900 VOLTAIRE
261,0.0,0.0,200 07TH
262,32.800711,-117.237047,1800 GARNET
263,32.86811596042502,-117.21698915456389,8600 COSTA VERDE
264,32.72809688624269,-117.06587674423642,6100 FEDERAL
265,32.69685783391193,-117.08740972684055,5000 LOGAN
266,32.58232662038772,-117.0482409890345,4000 RENE
267,32.893901,-117.119792,9600 MIRAMAR
268,0.0,0.0,1600 01ST
269,32.809659,-117.148413,8100 AERO
270,32.820372,-117.171366,6600 BALBOA
271,32.98372734103463,-117.07591705121887,12100 CARMEL MTN
272,32.751934,-117.205777,3100 SPORTS ARENA
273,32.74329,-117.178809,1600 LINWOOD
274,0.0,0.0,1000 CAM DEL RIO NORTH
275,32.834503,-117.182549,5000 CLAIREMONT MESA
276,32.752855,-117.226672,4200 WEST POINT LOMA
277,32.78784020978911,-117.11642616747629,9700 FRIARS
278,32.721378,-117.125491,1500 32ND
279,0.0,0.0,3600 CAM DE LA PLAZA
280,32.805673,-117.171857,7200 MESA COLLEGE
281,32.7553042,-117.21226958193277,3500 SPORTS ARENA
282,32.797329905724595,-117.01047092027954,6400 LAKE ARROWHEAD
283,32.4672227,-117.0552687,1000 J
284,32.683631,-117.04993,6600 DORIANA
285,32.706016,-117.084863,5100 CASTANA
286,32.851512,-117.249655,2500 SAN DIEGO
287,0.0,0.0,2500 01ST
288,32.851845,-116.883362,5200 GENEVA
289,32.81047743009068,-117.11960041070459,3700 RUFFIN
290,32.802116,-117.241592,3100 INGRAHAM
291,0.0,0.0,0 04TH
292,32.6886565,-116.3348171,4300 MISSION
293,32.80879463690984,-117.17659427285837,3700 GENESEE
294,32.780272,-117.101655,5700 FAIRMOUNT
295,32.8781799,-117.23598364134506,400 UNIVERSITY
296,32.7226816,-117.1083641,3700 HOME
297,0.0,0.0,400 08TH
298,32.7947731,-116.962526,5400 EL CAJON
299,32.7233,-117.228891,1300 SCOTT
300,32.7662748,-117.1662647,0 RIVERWALK
301,32.75075829390674,-117.06986232549428,5900 UNIVERSITY
302,32.833301,-117.085585,5000 VIA VALARTA
303,32.9488105,-117.250785,3500 DEL MAR HEIGHTS
304,32.7368918,-117.0944108,0 QUINCE
305,32.749786,-117.111723,3800 UNIVERSITY
306,32.7305,-117.2532,2100 SUNSET CLIFFS
307,32.71141852268644,-117.08510441799362,600 EUCLID
308,32.94295755,-116.99813722770982,11700 POWAY
309,32.81726531184825,-117.15220440033109,8000 OTHELLO
310,32.732438,-117.216842,2200 CUSHING
311,32.74218,-117.234066,4100 UDALL
312,32.7947731,-116.962526,0 EL CAJON
313,32.763501,-117.125067,4700 32ND
314,32.715996,-117.151677,1400 BROADWAY
315,32.75151,-117.099652,4400 POLK
316,32.83228516095093,-117.21814480206787,3100 LUNA
317,32.777426,-117.132585,2200 RIVER RUN
318,32.831476702956806,-117.13656422578002,8700 CLAIREMONT MESA
319,32.7698841,-117.055947,6600 MONTEZUMA
320,32.728265,-117.024323,2100 WASHINGTON
321,32.864899,-117.229297,7400 CHARMANT
322,32.712328,-117.130308,600 30TH
323,33.01151612143004,-117.08403399043571,16300 BERNARDO CENTER
324,32.743803,-117.245857,1900 EBERS
325,32.896388096522934,-117.19683184397589,5700 MOREHOUSE
326,32.85047179152764,-117.12110964482181,6700 KEARNY VILLA
327,32.800739,-117.231241,2100 BALBOA
328,32.723525,-117.171449,1600 PACIFIC
329,32.723107,-117.169285,1700 KETTNER
330,32.754991,-117.079503,4300 54TH
331,0.0,0.0,2000 CAM DEL ESTE
332,32.696319,-117.133896,900 28TH
333,32.7807245,-117.1014434,5300 FAIRMOUNT
334,32.833067,-117.200789,4300 CLAIREMONT
335,32.4672227,-117.0552687,600 E
336,32.6851149,-117.0355721,0 BRIARWOOD
337,32.71685510549263,-117.02778644598841,8300 JAMACHA
338,32.6886565,-116.3348171,4700 MISSION
339,32.799302,-117.244406,1400 GARNET
340,32.754693,-117.127701,0 ILLINOIS
341,32.746738,-117.156248,900 ROBINSON
342,32.749987,-117.16876,4000 DOVE
343,32.756113,-117.060327,4200 BONILLO
344,32.744179,-117.107076,3600 41ST
345,32.947451,-117.083787,11600 SPRINGSIDE
346,32.573618,-117.091727,1900 LIEDER
347,32.682838,-117.109494,3900 DIVISION
348,32.833873,-117.118023,9700 CLAIREMONT MESA
349,32.57847276451227,-117.03496458054317,700 DENNERY
350,32.81056,-117.113833,9900 AERO
351,32.749685,-117.09967,4400 UNIVERSITY
352,32.87741225,-117.23007757752869,1800 TORREY PINES
353,32.7947731,-116.962526,5600 EL CAJON
354,32.701254,-117.129351,3000 OCEAN VIEW
355,32.755066,-117.092307,4300 EUCLID
356,32.709947,-117.066552,6100 AKINS
357,32.7947731,-116.962526,2500 EL CAJON
358,32.73689,-117.090194,3000 EUCLID
359,32.696932,-117.101105,4300 LOGAN
360,32.711608,-117.153599,1200 MARKET
361,32.714812,-117.155694,900 10TH
362,32.7236179690938,-117.07847546353928,2000 BAYVIEW HEIGHTS
363,32.754153,-117.142617,4200 ALABAMA
364,32.760025,-117.07836,5400 GILBERT
365,32.749836,-117.117901,3500 UNIVERSITY
366,32.688375,-117.048729,6800 PARADISE VALLEY
367,32.698451,-117.136239,700 SICARD
368,32.751457,-117.090214,4100 ESTRELLA
369,32.742415,-117.180578,3700 INDIA
370,32.8401623,-117.2740777,5200 LA JOLLA
371,32.90352,-117.115581,9700 CARROLL CANYON
372,32.807941,-117.155222,7800 STALMER
